"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"31.0","38.0","28.0","17.0","1","1","1","-3.0","-141.0","8573.0","9.0","-5.0","101.0","138.0","-106.0","-702.0","90","0"
"26.0","34.0","24.0","23.0","1","1","1","113.0","-145.0","8571.0","-28.0","-31.0","203.0","150.0","-94.0","-704.0","90","0"
"20.0","31.0","19.0","28.0","1","1","1","229.0","-151.0","8647.0","12.0","72.0","266.0","147.0","-87.0","-709.0","90","0"
"16.0","28.0","42.0","15.0","1","1","1","231.0","-203.0","8637.0","17.0","54.0","263.0","155.0","-85.0","-707.0","90","0"
"14.0","25.0","7.0","49.0","1","1","1","259.0","-126.0","8588.0","-8.0","-4.0","246.0","147.0","-81.0","-711.0","90","0"
"8.0","20.0","5.0","45.0","1","1","1","176.0","-154.0","8581.0","-15.0","19.0","12.0","153.0","-81.0","-693.0","90","3"
"25.0","19.0","7.0","27.0","1","1","1","296.0","-334.0","8569.0","139.0","15.0","4272.0","206.0","-38.0","-710.0","90","3"
"20.0","48.0","21.0","19.0","1","1","1","190.0","-156.0","8593.0","-14.0","16.0","12.0","316.0","-36.0","-710.0","90","0"
"18.0","50.0","25.0","20.0","1","1","1","-160.0","-183.0","8658.0","19.0","-26.0","48.0","309.0","-37.0","-711.0","90","0"
"13.0","48.0","46.0","26.0","1","1","1","209.0","-136.0","8599.0","-26.0","21.0","188.0","321.0","-33.0","-713.0","90","0"
"5.0","45.0","5.0","33.0","1","1","1","224.0","-156.0","8581.0","-14.0","13.0","12.0","328.0","-60.0","-718.0","90","1"
"8.0","46.0","8.0","31.0","1","1","1","599.0","-131.0","8594.0","-26.0","3.0","-126.0","311.0","-49.0","-711.0","90","1"
"13.0","48.0","48.0","26.0","1","1","1","317.0","-137.0","8536.0","-18.0","-22.0","-117.0","308.0","-44.0","-716.0","90","1"
"18.0","49.0","23.0","19.0","1","1","1","226.0","-216.0","8623.0","-50.0","59.0","-122.0","313.0","-39.0","-711.0","90","1"
"25.0","49.0","24.0","14.0","1","1","1","230.0","-200.0","8555.0","-23.0","12.0","-152.0","310.0","-42.0","-714.0","90","1"
"30.0","60.0","32.0","9.0","1","1","1","162.0","-294.0","8576.0","-31.0","-20.0","-275.0","306.0","-30.0","-712.0","90","1"
"36.0","68.0","38.0","3.0","1","1","1","219.0","-162.0","8576.0","-14.0","14.0","11.0","285.0","-35.0","-701.0","90","0"
"34.0","71.0","41.0","3.0","1","1","1","-62.0","-221.0","8586.0","-13.0","5.0","129.0","297.0","-35.0","-705.0","90","0"
"29.0","60.0","32.0","8.0","1","1","1","140.0","-288.0","8609.0","-18.0","86.0","233.0","300.0","-24.0","-708.0","90","0"
"25.0","52.0","24.0","15.0","1","1","1","52.0","-165.0","8411.0","-4.0","6.0","140.0","309.0","-21.0","-709.0","90","0"
"16.0","54.0","17.0","22.0","1","1","1","11.0","-152.0","8581.0","-10.0","75.0","-17.0","305.0","-27.0","-705.0","90","3"
"19.0","44.0","14.0","25.0","1","1","1","288.0","-230.0","8600.0","91.0","88.0","3348.0","353.0","-51.0","-709.0","90","3"
"81.0","42.0","20.0","9.0","1","1","1","296.0","-257.0","8496.0","61.0","5.0","3566.0","404.0","-120.0","-714.0","90","3"
"43.0","53.0","32.0","11.0","1","1","1","447.0","-250.0","8623.0","74.0","-26.0","3585.0","412.0","-208.0","-728.0","90","2"
"46.0","45.0","21.0","11.0","1","1","1","435.0","-235.0","8618.0","-116.0","32.0","-3803.0","408.0","-154.0","-726.0","90","2"
