"middleUltrasonic","leftUltrasonic","rightUltrasonic","backUltrasonic","L0","L1","L2","xAccel","yAccel","zAccel","xGyro","yGyro","zGyro","xMag","yMag","zMag","servoAngle","state"
"32.0","209.0","110.0","64.0","0","0","0","816.0","-280.0","8614.0","3.0","57.0","181.0","262.0","-402.0","-558.0","90","1"
"29.0","62.0","111.0","69.0","0","0","0","857.0","-327.0","8556.0","34.0","165.0","153.0","265.0","-395.0","-551.0","90","0"
"27.0","208.0","109.0","70.0","0","0","0","1529.0","-228.0","8514.0","-27.0","-46.0","95.0","281.0","-397.0","-555.0","90","0"
"28.0","207.0","110.0","70.0","0","0","0","352.0","-215.0","8564.0","-21.0","40.0","-34.0","285.0","-391.0","-547.0","90","0"
"27.0","60.0","110.0","71.0","0","0","0","573.0","-221.0","8554.0","-18.0","25.0","9.0","270.0","-394.0","-550.0","90","0"
"28.0","64.0","110.0","71.0","0","0","0","644.0","-198.0","8564.0","-16.0","12.0","12.0","275.0","-397.0","-557.0","90","0"
"28.0","208.0","109.0","70.0","0","0","0","621.0","-152.0","8524.0","-12.0","-32.0","99.0","274.0","-398.0","-554.0","90","0"
"28.0","67.0","110.0","71.0","0","0","0","587.0","-206.0","8533.0","-15.0","-5.0","19.0","272.0","-396.0","-546.0","90","0"
"28.0","63.0","111.0","70.0","0","0","0","1082.0","-139.0","8681.0","-78.0","188.0","-41.0","281.0","-399.0","-549.0","90","0"
"91.0","204.0","90.0","107.0","0","0","0","665.0","-171.0","8531.0","-17.0","17.0","12.0","347.0","-411.0","-579.0","90","0"
"91.0","201.0","90.0","118.0","0","0","0","675.0","-175.0","8543.0","-17.0","16.0","11.0","360.0","-412.0","-578.0","90","0"
"89.0","129.0","101.0","109.0","0","0","0","666.0","-172.0","8548.0","-17.0","16.0","12.0","351.0","-407.0","-583.0","90","0"
"89.0","205.0","92.0","110.0","0","0","0","668.0","-174.0","8546.0","-16.0","16.0","12.0","361.0","-419.0","-573.0","90","0"
"91.0","201.0","89.0","110.0","0","0","0","666.0","-172.0","8544.0","-18.0","17.0","12.0","355.0","-415.0","-581.0","90","0"
"90.0","203.0","87.0","110.0","0","0","0","665.0","-176.0","8539.0","-16.0","17.0","13.0","351.0","-415.0","-579.0","90","1"
"90.0","204.0","88.0","128.0","0","0","0","163.0","-136.0","8541.0","-28.0","29.0","53.0","351.0","-407.0","-575.0","90","1"
"89.0","209.0","74.0","25.0","0","0","0","427.0","-169.0","8551.0","-26.0","-20.0","136.0","355.0","-415.0","-569.0","90","1"
"83.0","40.0","85.0","8.0","0","0","0","514.0","-158.0","8425.0","15.0","67.0","157.0","351.0","-403.0","-565.0","90","1"
"83.0","38.0","84.0","12.0","0","0","0","746.0","-221.0","8548.0","33.0","51.0","223.0","355.0","-407.0","-575.0","90","1"
"80.0","80.0","84.0","13.0","0","0","0","752.0","-142.0","8615.0","-80.0","80.0","245.0","356.0","-398.0","-564.0","90","1"
"77.0","207.0","84.0","15.0","0","0","0","617.0","-98.0","8447.0","-26.0","106.0","190.0","348.0","-404.0","-554.0","90","1"
"73.0","40.0","83.0","19.0","0","0","0","714.0","-211.0","8525.0","6.0","46.0","169.0","342.0","-406.0","-550.0","90","1"
"69.0","212.0","83.0","23.0","0","0","0","482.0","-98.0","8404.0","-9.0","-59.0","191.0","334.0","-408.0","-536.0","90","1"
"67.0","208.0","84.0","26.0","0","0","0","543.0","-41.0","8556.0","-63.0","-30.0","216.0","326.0","-418.0","-530.0","90","1"
"63.0","210.0","84.0","29.0","0","0","0","684.0","-132.0","8577.0","-53.0","-39.0","234.0","319.0","-405.0","-529.0","90","1"
"61.0","208.0","87.0","33.0","0","0","0","582.0","-213.0","8477.0","-10.0","-160.0","213.0","299.0","-403.0","-525.0","90","1"
"57.0","127.0","87.0","36.0","0","0","0","726.0","-280.0","8544.0","-6.0","59.0","218.0","287.0","-401.0","-527.0","90","1"
"54.0","211.0","90.0","39.0","0","0","0","609.0","-237.0","8577.0","47.0","-49.0","223.0","287.0","-413.0","-527.0","90","1"
"51.0","212.0","118.0","43.0","0","0","0","742.0","-152.0","8418.0","11.0","-117.0","226.0","270.0","-406.0","-530.0","90","1"
"47.0","217.0","124.0","47.0","0","0","0","714.0","-266.0","8500.0","-29.0","74.0","218.0","278.0","-406.0","-534.0","90","1"
"44.0","194.0","121.0","50.0","0","0","0","579.0","-73.0","8502.0","9.0","-75.0","232.0","279.0","-399.0","-539.0","90","1"
"41.0","141.0","129.0","54.0","0","0","0","855.0","-270.0","8562.0","21.0","22.0","213.0","263.0","-391.0","-535.0","90","1"
"37.0","101.0","113.0","59.0","0","0","0","723.0","-221.0","8466.0","-28.0","-22.0","237.0","256.0","-400.0","-538.0","90","1"
"34.0","52.0","112.0","62.0","0","0","0","705.0","-246.0","8544.0","-8.0","62.0","152.0","263.0","-403.0","-541.0","90","1"
"32.0","195.0","113.0","67.0","0","0","0","680.0","-227.0","8530.0","-15.0","99.0","251.0","254.0","-400.0","-546.0","90","1"
"28.0","205.0","112.0","71.0","0","0","0","643.0","-209.0","8340.0","-6.0","-39.0","159.0","262.0","-400.0","-556.0","90","0"
"27.0","160.0","112.0","73.0","0","0","0","1526.0","-281.0","8615.0","-48.0","-65.0","56.0","266.0","-394.0","-556.0","90","0"
"27.0","61.0","112.0","72.0","0","0","0","367.0","-218.0","8538.0","-9.0","72.0","-31.0","268.0","-396.0","-554.0","90","0"
"92.0","41.0","103.0","154.0","0","0","0","671.0","-175.0","8551.0","-17.0","17.0","11.0","355.0","-409.0","-581.0","90","0"
"92.0","52.0","103.0","152.0","0","0","0","679.0","-175.0","8550.0","-18.0","17.0","10.0","360.0","-418.0","-588.0","90","0"
"91.0","203.0","103.0","129.0","0","0","0","677.0","-182.0","8543.0","-18.0","16.0","11.0","360.0","-410.0","-580.0","90","0"
"91.0","207.0","102.0","130.0","0","0","0","674.0","-176.0","8551.0","-17.0","17.0","10.0","355.0","-405.0","-579.0","90","0"
